"Unique identification number of the institution","Occupation and full- and part-time status","Full-time or part-time status","Occupation category","Identifies occupations consistent with previous codes","Grand total","Grand total men","Grand total women","American Indian or Alaska Native total","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian total","Asian men","Asian women","Black or African American total","Black or African American men","Black or African American women","Hispanic or Latino total","Hispanic or Latino men","Hispanic or Latino women","Native Hawaiian or Other Pacific Islander total","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White total","White men","White women","Two or more races total","Two or more races men","Two or more races women","Race/ethnicity unknown total","Race/ethnicity unknown men","Race/ethnicity unknown women","Nonresident alien total","Nonresident alien men","Nonresident alien women","FY","Fall","Institution_Name","Survey Code","Survey Title","FTPT_desc","OCCUPCAT_desc","SABDTYPE_desc","STAFFCAT_desc"
"131496","1390","1","390","-2","   72","  62","   10","  0"," 0"," 0","   1","   1","   0","  36"," 32","   4","  11","  11","   0"," 0"," 0"," 0","    5","   4","   1","  1"," 0","  1","  3","  2","  1","  15"," 12","  3","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Production, Transportation, and Material Moving"
"131496","2100","2","100","10"," 4883","2180"," 2703","  9"," 6"," 3"," 257"," 107"," 150"," 773","343"," 430"," 207","  93"," 114"," 8"," 4"," 4"," 2366","1099","1267"," 51","17"," 34","536","201","335"," 676","310","366","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","All staff","Full-time (occupation code prior to 2012)","Full-time total"
"131496","2200","2","200","11"," 1500"," 807","  693","  3"," 1"," 2","  92","  51","  41","  62"," 24","  38","  29","  16","  13"," 0"," 0"," 0","  873"," 494"," 379","  8"," 3","  5","150"," 68"," 82"," 283","150","133","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional, research and public service staff","Full-time postecondary teachers (occupation code prior to 2012)","Full-time, Instructional, research and public service"
"131496","2210","2","210","-2"," 1173"," 653","  520","  3"," 1"," 2","  70","  37","  33","  53"," 24","  29","  23","  15","   8"," 0"," 0"," 0","  761"," 441"," 320","  7"," 3","  4"," 91"," 44"," 47"," 165"," 88"," 77","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Instructional staff"
"131496","2220","2","220","-2","  327"," 154","  173","  0"," 0"," 0","  22","  14","   8","   9","  0","   9","   6","   1","   5"," 0"," 0"," 0","  112","  53","  59","  1"," 0","  1"," 59"," 24"," 35"," 118"," 62"," 56","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Research"
"131496","2250","2","250","-2","  103","  24","   79","  0"," 0"," 0","   6","   3","   3","   5","  0","   5","   1","   0","   1"," 0"," 0"," 0","   64","  16","  48","  1"," 0","  1"," 14","  2"," 12","  12","  3","  9","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"131496","2260","2","260","-2","   78","  23","   55","  0"," 0"," 0","   5","   3","   2","   2","  0","   2","   1","   0","   1"," 0"," 0"," 0","   52","  15","  37","  0"," 0","  0"," 11","  2","  9","   7","  3","  4","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"131496","2261","2","261","-2","    1","   0","    1","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    1","   0","   1","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Archivists, Curators, and Museum Technicians"
"131496","2262","2","262","-2","   77","  23","   54","  0"," 0"," 0","   5","   3","   2","   2","  0","   2","   1","   0","   1"," 0"," 0"," 0","   51","  15","  36","  0"," 0","  0"," 11","  2","  9","   7","  3","  4","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians"
"131496","2270","2","270","-2","   25","   1","   24","  0"," 0"," 0","   1","   0","   1","   3","  0","   3","   0","   0","   0"," 0"," 0"," 0","   12","   1","  11","  1"," 0","  1","  3","  0","  3","   5","  0","  5","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Student and Academic Affairs and Other Education Services"
"131496","2300","2","300","-2"," 1059"," 383","  676","  1"," 1"," 0","  48","  12","  36"," 127"," 42","  85","  53","  12","  41"," 0"," 0"," 0","  646"," 249"," 397"," 19"," 4"," 15"," 98"," 36"," 62","  67"," 27"," 40","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Management","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Management"
"131496","2310","2","310","-2","  356","  92","  264","  1"," 0"," 1","  18","   2","  16","  62"," 12","  50","   7","   1","   6"," 1"," 1"," 0","  174","  49"," 125","  6"," 2","  4"," 49"," 15"," 34","  38"," 10"," 28","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Business and Financial Operations"
"131496","2320","2","320","-2","  288"," 192","   96","  2"," 2"," 0","  21","  16","   5","  61"," 38","  23","  12","   8","   4"," 2"," 2"," 0","  122","  85","  37","  2"," 2","  0"," 24"," 18","  6","  42"," 21"," 21","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Computer, Engineering, and Science"
"131496","2330","2","330","-2","  267"," 128","  139","  0"," 0"," 0","   6","   2","   4","  28"," 16","  12","  16","   6","  10"," 0"," 0"," 0","  170","  83","  87","  2"," 1","  1"," 35"," 15"," 20","  10","  5","  5","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Community Service, Legal, Arts, and Media"
"131496","2340","2","340","-2","  271","  85","  186","  0"," 0"," 0","  25","   9","  16","  14","  2","  12","   9","   3","   6"," 1"," 0"," 1","   87","  29","  58","  3"," 1","  2"," 53"," 15"," 38","  79"," 26"," 53","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Healthcare Practioners and Technical"
"131496","2350","2","350","-2","  249"," 142","  107","  0"," 0"," 0","   1","   1","   0"," 111"," 69","  42","  25","  12","  13"," 1"," 1"," 0","   20","  18","   2","  2"," 2","  0"," 21","  8"," 13","  68"," 31"," 37","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Service"
"131496","2370","2","370","-2","  599"," 147","  452","  1"," 1"," 0","  36","   7","  29"," 213"," 54"," 159","  27","   7","  20"," 3"," 0"," 3","  180","  48"," 132","  7"," 2","  5"," 86"," 19"," 67","  46","  9"," 37","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Office and Administrative Support"
"131496","2380","2","380","-2","  122"," 121","    1","  1"," 1"," 0","   3","   3","   0","  56"," 56","   0","  17","  17","   0"," 0"," 0"," 0","   25","  24","   1","  0"," 0","  0","  4","  4","  0","  16"," 16","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Natural Resources, Construction, and Maintenance"
"131496","2390","2","390","-2","   69","  59","   10","  0"," 0"," 0","   1","   1","   0","  34"," 30","   4","  11","  11","   0"," 0"," 0"," 0","    5","   4","   1","  1"," 0","  1","  2","  1","  1","  15"," 12","  3","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Production, Transportation, and Material Moving"
"131496","3100","3","100","-2"," 1085"," 608","  477","  0"," 0"," 0","  22","   8","  14","  40"," 13","  27","  17","   7","  10"," 0"," 0"," 0","  602"," 380"," 222","  6"," 3","  3","356","173","183","  42"," 24"," 18","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, total"
"131496","3200","3","200","70","  972"," 574","  398","  0"," 0"," 0","  20","   8","  12","  27","  5","  22","  12","   7","   5"," 0"," 0"," 0","  549"," 364"," 185","  4"," 2","  2","324","165","159","  36"," 23"," 13","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Instructional, research and public service staff","Part-time postecondary teachers (occupation code prior to 2012)","Part-time, Instructional, research and public service"
"131496","3210","3","210","-2","  961"," 569","  392","  0"," 0"," 0","  20","   8","  12","  27","  5","  22","  12","   7","   5"," 0"," 0"," 0","  545"," 363"," 182","  4"," 2","  2","319","162","157","  34"," 22"," 12","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Instructional staff"
"131496","3220","3","220","-2","   11","   5","    6","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    4","   1","   3","  0"," 0","  0","  5","  3","  2","   2","  1","  1","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Research"
"131496","3250","3","250","-2","   11","   1","   10","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    5","   1","   4","  0"," 0","  0","  3","  0","  3","   3","  0","  3","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"131496","3260","3","260","-2","    8","   1","    7","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    5","   1","   4","  0"," 0","  0","  2","  0","  2","   1","  0","  1","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"131496","3262","3","262","-2","    8","   1","    7","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    5","   1","   4","  0"," 0","  0","  2","  0","  2","   1","  0","  1","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians"
"131496","3270","3","270","-2","    3","   0","    3","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    0","   0","   0","  0"," 0","  0","  1","  0","  1","   2","  0","  2","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Student and Academic Affairs and Other Education Services"
"131496","3300","3","300","-2","   12","   4","    8","  0"," 0"," 0","   0","   0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    6","   2","   4","  0"," 0","  0","  5","  2","  3","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Management","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Management"
"131496","3310","3","310","-2","    8","   1","    7","  0"," 0"," 0","   1","   0","   1","   0","  0","   0","   1","   0","   1"," 0"," 0"," 0","    4","   1","   3","  0"," 0","  0","  2","  0","  2","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Business and Financial Operations"
"131496","3320","3","320","-2","    7","   4","    3","  0"," 0"," 0","   1","   0","   1","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    5","   4","   1","  0"," 0","  0","  1","  0","  1","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Computer, Engineering, and Science"
"131496","3330","3","330","-2","   18","   3","   15","  0"," 0"," 0","   0","   0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","   10","   3","   7","  0"," 0","  0","  7","  0","  7","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Community Service, Legal, Arts, and Media"
"131496","3340","3","340","-2","   17","   3","   14","  0"," 0"," 0","   0","   0","   0","   1","  1","   0","   0","   0","   0"," 0"," 0"," 0","   11","   2","   9","  1"," 0","  1","  4","  0","  4","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Healthcare Practioners and Technical"
"131496","3350","3","350","-2","   12","   8","    4","  0"," 0"," 0","   0","   0","   0","   3","  2","   1","   2","   0","   2"," 0"," 0"," 0","    0","   0","   0","  1"," 1","  0","  4","  4","  0","   2","  1","  1","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Service Occupations"
"131496","3370","3","370","-2","   22","   4","   18","  0"," 0"," 0","   0","   0","   0","   4","  2","   2","   2","   0","   2"," 0"," 0"," 0","   11","   2","   9","  0"," 0","  0","  4","  0","  4","   1","  0","  1","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Office and Administrative Support"
"131496","3380","3","380","-2","    3","   3","    0","  0"," 0"," 0","   0","   0","   0","   1","  1","   0","   0","   0","   0"," 0"," 0"," 0","    1","   1","   0","  0"," 0","  0","  1","  1","  0","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Natural Resources, Construction, and Maintenance"
"131496","3390","3","390","-2","    3","   3","    0","  0"," 0"," 0","   0","   0","   0","   2","  2","   0","   0","   0","   0"," 0"," 0"," 0","    0","   0","   0","  0"," 0","  0","  1","  1","  0","   0","  0","  0","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Production, Transportation, and Material Moving"
"131496","4400","4","400","-2","  713"," 342","  371","  0"," 0"," 0","  47","  22","  25","  15","  6","   9","  36","  13","  23"," 0"," 0"," 0","  353"," 166"," 187"," 10"," 3","  7"," 25"," 10"," 15"," 227","122","105","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants","Not applicable, current occupation does not map to occupations prior to 2012","Graduate Assistants, total"
"131496","4410","4","410","-2","  451"," 223","  228","  0"," 0"," 0","  29","  13","  16","   7","  5","   2","  30","   9","  21"," 0"," 0"," 0","  217"," 107"," 110","  4"," 1","  3"," 16","  5"," 11"," 148"," 83"," 65","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants Teaching","Not applicable, current occupation does not map to occupations prior to 2012","Grad Asst., Teaching"
"131496","4420","4","420","-2","  262"," 119","  143","  0"," 0"," 0","  18","   9","   9","   8","  1","   7","   6","   4","   2"," 0"," 0"," 0","  136","  59","  77","  6"," 2","  4","  9","  5","  4","  79"," 39"," 40","2014","2013","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants Research","Not applicable, current occupation does not map to occupations prior to 2012","Grad Asst., Research"
"147767","1100","1","100","-2"," 9328","4457"," 4871","  7"," 1"," 6"," 970"," 482"," 488"," 793","253"," 540"," 488"," 208"," 280","13"," 2","11"," 6208","2990","3218"," 49","19"," 30"," 97"," 50"," 47"," 703","452","251","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Grand Total"
"147767","1200","1","200","-2"," 3398","2132"," 1266","  2"," 0"," 2"," 437"," 265"," 172","  99"," 50","  49","  90","  50","  40"," 0"," 0"," 0"," 2243","1402"," 841","  8"," 2","  6"," 44"," 26"," 18"," 475","337","138","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional, research and public service staff","Not applicable, current occupation does not map to occupations prior to 2012","Instructional, research and public service"
"147767","1210","1","210","-2"," 2410","1512","  898","  0"," 0"," 0"," 298"," 181"," 117","  89"," 46","  43","  78","  46","  32"," 0"," 0"," 0"," 1840","1180"," 660","  7"," 2","  5"," 30"," 15"," 15","  68"," 42"," 26","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Instructional staff"
"147767","1220","1","220","-2","  988"," 620","  368","  2"," 0"," 2"," 139","  84","  55","  10","  4","   6","  12","   4","   8"," 0"," 0"," 0","  403"," 222"," 181","  1"," 0","  1"," 14"," 11","  3"," 407","295","112","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Research","Not applicable, current occupation does not map to occupations prior to 2012","Research"
"147767","1250","1","250","-2","  251","  98","  153","  0"," 0"," 0","  10","   3","   7","  23","  9","  14","  11","   5","   6"," 1"," 0"," 1","  199","  78"," 121","  2"," 1","  1","  3","  1","  2","   2","  1","  1","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"147767","1260","1","260","-2","  215","  85","  130","  0"," 0"," 0","  10","   3","   7","  21","  7","  14","   8","   4","   4"," 1"," 0"," 1","  170","  69"," 101","  1"," 0","  1","  2","  1","  1","   2","  1","  1","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"147767","1261","1","261","-2","    9","   2","    7","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   2","   0","   2"," 0"," 0"," 0","    7","   2","   5","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Archivists, Curators, and Museum Technicians"
"147767","1262","1","262","-2","  100","  43","   57","  0"," 0"," 0","   3","   0","   3","   5","  1","   4","   2","   2","   0"," 1"," 0"," 1","   84","  38","  46","  1"," 0","  1","  2","  1","  1","   2","  1","  1","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Librarians"
"147767","1263","1","263","-2","  106","  40","   66","  0"," 0"," 0","   7","   3","   4","  16","  6","  10","   4","   2","   2"," 0"," 0"," 0","   79","  29","  50","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Library Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Library Technicians"
"147767","1270","1","270","-2","   36","  13","   23","  0"," 0"," 0","   0","   0","   0","   2","  2","   0","   3","   1","   2"," 0"," 0"," 0","   29","   9","  20","  1"," 1","  0","  1","  0","  1","   0","  0","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Student and Academic Affairs and Other Education Services"
"147767","1300","1","300","-2","  235"," 133","  102","  0"," 0"," 0","  10","   5","   5","   6","  2","   4","   8","   5","   3"," 0"," 0"," 0","  205"," 117","  88","  3"," 2","  1","  2","  1","  1","   1","  1","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Management","Not applicable, current occupation does not map to occupations prior to 2012","Management"
"147767","1310","1","310","-2"," 1260"," 356","  904","  0"," 0"," 0","  93","  19","  74"," 164"," 33"," 131","  72","  24","  48"," 2"," 1"," 1","  891"," 265"," 626","  9"," 3","  6"," 14","  7","  7","  15","  4"," 11","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Business and Financial Operations"
"147767","1320","1","320","-2"," 1699"," 903","  796","  2"," 1"," 1"," 267"," 130"," 137","  90"," 35","  55","  90","  48","  42"," 5"," 1"," 4"," 1034"," 571"," 463"," 14"," 9","  5"," 14","  8","  6"," 183","100"," 83","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Computer, Engineering, and Science"
"147767","1330","1","330","-2","  388"," 156","  232","  0"," 0"," 0","  15","   4","  11","  39"," 17","  22","  12","   3","   9"," 1"," 0"," 1","  316"," 129"," 187","  2"," 1","  1","  1","  1","  0","   2","  1","  1","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Community Service, Legal, Arts, and Media"
"147767","1340","1","340","-2","  182","  38","  144","  0"," 0"," 0","  20","   9","  11","  22","  6","  16","  22","   3","  19"," 0"," 0"," 0","  112","  19","  93","  2"," 0","  2","  2","  0","  2","   2","  1","  1","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Healthcare Practioners and Technical"
"147767","1350","1","350","-2","  136"," 108","   28","  0"," 0"," 0","  22","  21","   1","  43"," 31","  12","  15","  12","   3"," 1"," 0"," 1","   54","  43","  11","  0"," 0","  0","  1","  1","  0","   0","  0","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Service"
"147767","1360","1","360","-2","   19","   9","   10","  0"," 0"," 0","   1","   1","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","   17","   8","   9","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Sales and Related Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Sales and related"
"147767","1370","1","370","-2"," 1497"," 293"," 1204","  3"," 0"," 3","  84","  14","  70"," 265"," 39"," 226"," 127","  30","  97"," 3"," 0"," 3","  968"," 198"," 770","  9"," 1","  8"," 15","  4"," 11","  23","  7"," 16","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Office and Administrative Support"
"147767","1380","1","380","-2","  263"," 231","   32","  0"," 0"," 0","  11","  11","   0","  41"," 31","  10","  41","  28","  13"," 0"," 0"," 0","  169"," 160","   9","  0"," 0","  0","  1","  1","  0","   0","  0","  0","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Natural Resources, Construction, and Maintenance"
"147767","2100","2","100","10"," 8777","4205"," 4572","  6"," 0"," 6"," 923"," 456"," 467"," 771","248"," 523"," 468"," 202"," 266","13"," 2","11"," 5783","2794","2989"," 47","19"," 28"," 77"," 41"," 36"," 689","443","246","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","All staff","Full-time (occupation code prior to 2012)","Full-time total"
"147767","2200","2","200","11"," 3039","1924"," 1115","  2"," 0"," 2"," 408"," 243"," 165","  88"," 46","  42","  81","  47","  34"," 0"," 0"," 0"," 1954","1235"," 719","  7"," 2","  5"," 30"," 18"," 12"," 469","333","136","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional, research and public service staff","Full-time postecondary teachers (occupation code prior to 2012)","Full-time, Instructional, research and public service"
"147767","2210","2","210","-2"," 2089","1325","  764","  0"," 0"," 0"," 277"," 167"," 110","  78"," 42","  36","  69","  43","  26"," 0"," 0"," 0"," 1578","1023"," 555","  6"," 2","  4"," 18","  9","  9","  63"," 39"," 24","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Instructional staff"
"147767","2220","2","220","-2","  950"," 599","  351","  2"," 0"," 2"," 131","  76","  55","  10","  4","   6","  12","   4","   8"," 0"," 0"," 0","  376"," 212"," 164","  1"," 0","  1"," 12","  9","  3"," 406","294","112","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Research"
"147767","2250","2","250","-2","  237","  95","  142","  0"," 0"," 0","  10","   3","   7","  23","  9","  14","  11","   5","   6"," 1"," 0"," 1","  186","  75"," 111","  1"," 1","  0","  3","  1","  2","   2","  1","  1","2014","2013","Northwestern University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
